Device Name,Input Type,Output Type,Input Sample Rate,Output Sample Rate,Latency,Source,Input Count,Output Count
Yamaha PM7,Dante,Analog,96000,96000,0.36ms,Yamaha DSP (0.18) + DA (0.18),144,48
Yamaha PM7,Analog,Analog,96000,96000,0.54ms,Yamaha full signal path latency,48,48
Yamaha PM10,Dante,Dante,96000,96000,0.18ms,Yamaha DSP engine latency @96kHz,144,144
Yamaha PM10,Analog,Dante,96000,96000,0.36ms,Yamaha converter + DSP latency,48,144
Yamaha PM10,Dante,Analog,96000,96000,0.36ms,Yamaha converter + DSP latency,144,48
Yamaha PM10,Analog,Analog,96000,96000,0.54ms,Yamaha full signal path latency,48,48
Yamaha DM3,Dante,Dante,96000,96000,0.15ms,Yamaha DSP engine latency @96kHz,16,16
Yamaha DM3,Analog,Dante,96000,96000,0.33ms,Yamaha AD (0.18) + DSP (0.15),8,16
Yamaha DM3,Dante,Analog,96000,96000,0.33ms,Yamaha DSP (0.15) + DA (0.18),16,8
Yamaha DM3,Analog,Analog,96000,96000,0.51ms,Yamaha full signal path latency,8,8
Yamaha DM7,Dante,Dante,96000,96000,0.19ms,Yamaha DM7 DSP latency @96kHz,64,64
Yamaha DM7,AES3,AES3,96000,96000,0.19ms,Yamaha DM7 DSP latency @96kHz,32,32
Yamaha DM7,Analog,Analog,96000,96000,0.47ms,Yamaha AD (0.14) + DSP (0.19) + DA (0.14),32,32
Yamaha DM7,Dante,Dante,48000,48000,0.39ms,Yamaha DM7 DSP latency @48kHz,64,64
Yamaha DM7,Analog,Analog,48000,48000,0.73ms,Yamaha AD (0.17) + DSP (0.39) + DA (0.17),32,32
Yamaha TF Series,Dante,Dante,48000,48000,0.66ms,Yamaha TF DSP engine latency @48kHz,64,64
Yamaha TF Series,AES3,AES3,48000,48000,0.66ms,Yamaha TF DSP engine latency @48kHz,32,32
Yamaha TF Series,Dante,AES3,48000,48000,0.66ms,Yamaha TF DSP engine latency @48kHz,64,32
Yamaha TF Series,AES3,Dante,48000,48000,0.66ms,Yamaha TF DSP engine latency @48kHz,32,64
Yamaha TF Series,Analog,Dante,48000,48000,0.96ms,Yamaha AD (0.30) + DSP (0.66),32,64
Yamaha TF Series,Dante,Analog,48000,48000,0.96ms,Yamaha DSP (0.66) + DA (0.30),64,32
Yamaha TF Series,Analog,AES3,48000,48000,0.96ms,Yamaha AD (0.30) + DSP (0.66),32,32
Yamaha TF Series,AES3,Analog,48000,48000,0.96ms,Yamaha DSP (0.66) + DA (0.30),32,32
Yamaha TF Series,Analog,Analog,48000,48000,1.26ms,Yamaha AD (0.30) + DSP (0.66) + DA (0.30),32,32
Yamaha RIVAGE PM10,Dante,Dante,96000,96000,0.18ms,Yamaha DSP engine latency @96kHz,144,144
Yamaha RIVAGE PM10,Analog,Dante,96000,96000,0.36ms,Yamaha converter + DSP latency,48,144
Yamaha RIVAGE PM10,Dante,Analog,96000,96000,0.36ms,Yamaha converter + DSP latency,144,48
Yamaha RIVAGE PM10,Analog,Analog,96000,96000,0.54ms,Yamaha full signal path latency,48,48
Yamaha RIVAGE PM7,Dante,Dante,96000,96000,0.18ms,Yamaha DSP engine latency @96kHz,144,144
Yamaha RIVAGE PM7,Analog,Dante,96000,96000,0.36ms,Yamaha converter + DSP latency,48,144
Yamaha RIVAGE PM7,Dante,Analog,96000,96000,0.36ms,Yamaha converter + DSP latency,144,48
Yamaha RIVAGE PM7,Analog,Analog,96000,96000,0.54ms,Yamaha full signal path latency,48,48
Yamaha RIVAGE PM5,Dante,Dante,96000,96000,0.18ms,Yamaha DSP engine latency @96kHz,144,144
Yamaha RIVAGE PM5,Analog,Dante,96000,96000,0.36ms,Yamaha converter + DSP latency,48,144
Yamaha RIVAGE PM5,Dante,Analog,96000,96000,0.36ms,Yamaha converter + DSP latency,144,48
Yamaha RIVAGE PM5,Analog,Analog,96000,96000,0.54ms,Yamaha full signal path latency,48,48
Yamaha RIVAGE PM3,Dante,Dante,96000,96000,0.18ms,Yamaha DSP engine latency @96kHz,144,144
Yamaha RIVAGE PM3,Analog,Dante,96000,96000,0.36ms,Yamaha converter + DSP latency,48,144
Yamaha RIVAGE PM3,Dante,Analog,96000,96000,0.36ms,Yamaha converter + DSP latency,144,48
Yamaha RIVAGE PM3,Analog,Analog,96000,96000,0.54ms,Yamaha full signal path latency,48,48
Yamaha RIVAGE CS-R3,Dante,Dante,96000,96000,0.18ms,Yamaha DSP engine latency @96kHz,144,144
Yamaha RIVAGE CS-R3,Analog,Dante,96000,96000,0.36ms,Yamaha converter + DSP latency,48,144
Yamaha RIVAGE CS-R3,Dante,Analog,96000,96000,0.36ms,Yamaha converter + DSP latency,144,48
Yamaha RIVAGE CS-R3,Analog,Analog,96000,96000,0.54ms,Yamaha full signal path latency,48,48
Yamaha RIVAGE CS-R5,Dante,Dante,96000,96000,0.18ms,Yamaha DSP engine latency @96kHz,144,144
Yamaha RIVAGE CS-R5,Analog,Dante,96000,96000,0.36ms,Yamaha converter + DSP latency,48,144
Yamaha RIVAGE CS-R5,Dante,Analog,96000,96000,0.36ms,Yamaha converter + DSP latency,144,48
Yamaha RIVAGE CS-R5,Analog,Analog,96000,96000,0.54ms,Yamaha full signal path latency,48,48
Yamaha RIVAGE CS-R7,Dante,Dante,96000,96000,0.18ms,Yamaha DSP engine latency @96kHz,144,144
Yamaha RIVAGE CS-R7,Analog,Dante,96000,96000,0.36ms,Yamaha converter + DSP latency,48,144
Yamaha RIVAGE CS-R7,Dante,Analog,96000,96000,0.36ms,Yamaha converter + DSP latency,144,48
Yamaha RIVAGE CS-R7,Analog,Analog,96000,96000,0.54ms,Yamaha full signal path latency,48,48
Yamaha DM7,Analog,Analog,96kHz,96kHz,"<1,5ms",Yamaha DM7 datasheet: Signal delay less than 1.5 ms (INPUT to OMNI OUT @Fs=96 kHz),2,2
Yamaha CL5,Dante,AES3,96000,96000,0.25ms,Derived: DSP engine latency @96kHz -> AES3 out (console has AES/EBU digital out),64,2
Yamaha CL5,Analog,AES3,96000,96000,0.43ms,Derived: AD (0.18) + DSP (0.25) -> AES3 out,32,2
Yamaha CL3,Dante,AES3,96000,96000,0.25ms,Derived: DSP engine latency @96kHz -> AES3 out,64,2
Yamaha CL3,Analog,AES3,96000,96000,0.43ms,Derived: AD (0.18) + DSP (0.25) -> AES3 out,32,2
Yamaha CL1,Dante,AES3,96000,96000,0.25ms,Derived: DSP engine latency @96kHz -> AES3 out,48,2
Yamaha CL1,Analog,AES3,96000,96000,0.43ms,Derived: AD (0.18) + DSP (0.25) -> AES3 out,16,2
Yamaha QL5,Dante,AES3,96000,96000,0.25ms,Derived: DSP engine latency -> AES3 out (console has AES/EBU digital out),64,2
Yamaha QL5,Analog,AES3,96000,96000,0.43ms,Derived: AD (0.18) + DSP (0.25) -> AES3 out,32,2
Yamaha QL1,Dante,AES3,96000,96000,0.25ms,Derived: DSP engine latency -> AES3 out,32,2
Yamaha QL1,Analog,AES3,96000,96000,0.43ms,Derived: AD (0.18) + DSP (0.25) -> AES3 out,16,2
Yamaha DM7,Dante,AES3,96000,96000,0.19ms,Derived: DSP latency @96kHz -> AES3 out (DM7 has AES/EBU I/O),64,2
Yamaha DM7,AES3,Dante,96000,96000,0.19ms,Derived: AES3 in -> DSP -> Dante out,2,64
Yamaha DM7,Analog,AES3,96000,96000,0.33ms,Derived: AD (0.14) + DSP (0.19) -> AES3 out,32,2
Yamaha DM7,AES3,Analog,96000,96000,0.33ms,Derived: AES3 in -> DSP (0.19) + DA (0.14),2,32
Yamaha DM7,AES3,AES3,96000,96000,0.19ms,Derived: AES3 in -> DSP -> AES3 out,2,2
