Device Name,Input Type,Output Type,Input Sample Rate,Output Sample Rate,Latency,Source,Input Count,Output Count
Allen & Heath dLive MixRack,Dante,Dante,48kHz,96kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,Dante,Dante,96kHz,48kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,Dante,Dante,96kHz,96kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,Dante,AES67,48kHz,48kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,Dante,AES67,48kHz,96kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,Dante,AES67,96kHz,48kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,Dante,AES67,96kHz,96kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,AES67,Analog,48kHz,-,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,AES67,Analog,96kHz,-,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,AES67,AES3,48kHz,48kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,AES67,AES3,48kHz,96kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,AES67,AES3,96kHz,48kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,AES67,AES3,96kHz,96kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,AES67,Dante,48kHz,48kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,AES67,Dante,48kHz,96kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,AES67,Dante,96kHz,48kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,AES67,Dante,96kHz,96kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,AES67,AES67,48kHz,48kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,AES67,AES67,48kHz,96kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,AES67,AES67,96kHz,48kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,AES67,AES67,96kHz,96kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath Avantis,Analog,Analog,96kHz,96kHz,"0,7ms","Allen & Heath Avantis marketing/spec (""class-leading 0.7ms latency"")",2,2
